"item","avg_rating","rank","rating_sd","number_ratings","character"
"suspicious (not awkward)",85.3,78,18.9,961,"Darth Vader"
"obsessed (not aloof)",85.2,81,21.9,1007,"Darth Vader"
"depressed (not bright)",85.1,30,19.5,846,"Darth Vader"
"poisonous (not nurturing)",85.1,134,17.3,358,"Darth Vader"
"complicated (not simple)",85.1,153,20.2,894,"Darth Vader"
"moody (not stable)",84.9,195,21.8,1081,"Darth Vader"
"tall (not short)",84.9,108,17.2,1132,"Darth Vader"
"selfish (not altruistic)",84.9,158,20.3,1065,"Darth Vader"
"stingy (not generous)",84.9,92,15.7,138,"Darth Vader"
"self-disciplined (not disorganized)",84.8,372,21.3,1026,"Darth Vader"
"captain (not first-mate)",84.8,226,27.2,1159,"Darth Vader"
"pointed (not random)",84.4,216,21.7,123,"Darth Vader"
"extraordinary (not mundane)",84.3,204,20.1,987,"Darth Vader"
"alpha (not beta)",84.3,302,24.9,949,"Darth Vader"
"queen (not princess)",84.3,193,25.2,81,"Darth Vader"
"jaded (not innocent)",84,213,20,79,"Darth Vader"
"pro (not noob)",83.9,382,23.5,296,"Darth Vader"
"self-destructive (not self-improving)",83.9,102,22.2,119,"Darth Vader"
"impatient (not patient)",83.8,206,22.7,408,"Darth Vader"
"worldly (not innocent)",83.7,219,18.9,1041,"Darth Vader"
"badass (not weakass)",83.7,463,23.2,109,"Darth Vader"
"villainous (not heroic)",83.6,106,19.2,1077,"Darth Vader"
"close-minded (not open-minded)",83.4,80,20,1132,"Darth Vader"
"biased (not impartial)",83.3,115,23.3,1001,"Darth Vader"
"private (not gregarious)",83.2,135,22.2,994,"Darth Vader"
"😈 (not 😇)",83,188,20.1,287,"Darth Vader"
"ambitious (not realistic)",82.9,165,23.8,122,"Darth Vader"
"high IQ (not low IQ)",82.7,560,17.2,942,"Darth Vader"
"chosen one (not everyman)",82.7,62,23.4,78,"Darth Vader"
"fighter (not lover)",82.6,102,20.5,138,"Darth Vader"
"overachiever (not underachiever)",82.5,411,20.6,117,"Darth Vader"
"competent (not incompetent)",82.2,535,21.8,919,"Darth Vader"
"night owl (not morning lark)",82.1,207,20.7,664,"Darth Vader"
"insulting (not complimentary)",82.1,148,23,236,"Darth Vader"
"presidential (not folksy)",82,135,18.4,121,"Darth Vader"
"chortling (not giggling)",81.8,55,21.2,119,"Darth Vader"
"sickly (not healthy)",81.6,39,20,1024,"Darth Vader"
"studious (not goof-off)",81.6,409,23.4,302,"Darth Vader"
"edgy (not politically correct)",81.5,171,22.5,937,"Darth Vader"
"psychopath (not empath)",81.5,176,20.8,112,"Darth Vader"
"antagonist (not protagonist)",81.5,95,24.4,78,"Darth Vader"
"industrial (not domestic)",81.3,40,23.4,210,"Darth Vader"
"receiving (not giving)",81.2,148,26.2,98,"Darth Vader"
"rich (not poor)",81.2,375,22.5,900,"Darth Vader"
"works hard (not plays hard)",81.1,319,26.7,987,"Darth Vader"
"offended (not chill)",81.1,172,24.6,131,"Darth Vader"
"perceptive (not unobservant)",81.1,598,22.5,126,"Darth Vader"
"pensive (not serene)",81.1,71,18.6,102,"Darth Vader"
"active (not slothful)",81,569,20.5,801,"Darth Vader"
"main character (not side character)",81,382,24,68,"Darth Vader"
"armoured (not vulnerable)",80.9,213,26.1,848,"Darth Vader"
"slow-talking (not fast-talking)",80.9,36,19.1,137,"Darth Vader"
"feisty (not gracious)",80.8,296,22.2,827,"Darth Vader"
"pretentious (not unassuming)",80.8,198,23.1,312,"Darth Vader"
"debased (not pure)",80.5,181,23.8,971,"Darth Vader"
"individualist (not communal)",80.5,238,25.7,232,"Darth Vader"
"resourceful (not helpless)",80.5,629,24,260,"Darth Vader"
"go-getter (not slugabed)",80.5,491,22.5,260,"Darth Vader"
"sturdy (not flimsy)",80.4,316,21.6,128,"Darth Vader"
"Russian (not French)",80.2,46,22.2,136,"Darth Vader"
"cocky (not timid)",80,488,26,84,"Darth Vader"
"Roman (not Greek)",79.6,14,24.5,106,"Darth Vader"
"alert (not oblivious)",79.4,385,23,282,"Darth Vader"
"🎩 (not 🧢)",79.4,312,24.6,252,"Darth Vader"
"stoic (not expressive)",79.2,106,27,1067,"Darth Vader"
"spicy (not mild)",79.1,349,23.9,973,"Darth Vader"
"extravagant (not thrifty)",78.8,250,25.9,115,"Darth Vader"
"old (not young)",78.8,199,16.9,1016,"Darth Vader"
"deliberate (not spontaneous)",78.7,366,26.1,1012,"Darth Vader"
"cunning (not honorable)",78.7,215,24.6,1118,"Darth Vader"
"freak (not normie)",78.6,211,24.1,135,"Darth Vader"
"machiavellian (not transparent)",78.5,177,24.7,81,"Darth Vader"
"😭 (not 😀)",78.4,81,24.3,298,"Darth Vader"
"on-time (not tardy)",78.1,541,24.9,139,"Darth Vader"
"precise (not vague)",77.9,320,23.8,736,"Darth Vader"
"straight (not queer)",77.9,531,28.6,379,"Darth Vader"
"cannibal (not vegan)",77.8,205,24.1,114,"Darth Vader"
"cynical (not gullible)",77.8,370,27.9,102,"Darth Vader"
"frenzied (not sleepy)",77.7,374,22.5,117,"Darth Vader"
"formal (not intimate)",77.7,187,26.4,419,"Darth Vader"
"businesslike (not chivalrous)",77.6,221,27.5,116,"Darth Vader"
"jealous (not compersive)",77.5,210,25,905,"Darth Vader"
"salacious (not wholesome)",77.5,215,24.9,273,"Darth Vader"
"blacksmith (not tailor)",77.4,134,25.5,121,"Darth Vader"
"utilitarian (not decorative)",77.4,185,25.3,231,"Darth Vader"
"corporate (not freelance)",77.4,182,28.2,122,"Darth Vader"
"work-first (not family-first)",77.2,315,30.7,1129,"Darth Vader"
"🤐 (not 😜)",77.1,210,27.6,245,"Darth Vader"
"believable (not poorly-written)",77,550,21.9,124,"Darth Vader"
"pessimistic (not optimistic)",76.8,176,27.2,1044,"Darth Vader"
"stuck-in-the-past (not forward-thinking)",76.7,108,26.3,116,"Darth Vader"
"scientific (not artistic)",76.5,337,24.9,939,"Darth Vader"
"💔 (not 💝)",76.4,177,30.7,416,"Darth Vader"
"empirical (not theoretical)",76.3,39,26.6,939,"Darth Vader"
"rhythmic (not stuttering)",76.3,472,23.9,132,"Darth Vader"
"doer (not thinker)",76.2,318,26.3,142,"Darth Vader"
"unlucky (not fortunate)",76.2,177,25.2,992,"Darth Vader"
"cool (not dorky)",76,319,25.4,262,"Darth Vader"
"🏋️‍♂️ (not 🚴)",75.9,135,25.4,276,"Darth Vader"
"mischievous (not well behaved)",75.9,534,30,939,"Darth Vader"
"weird (not normal)",75.5,381,22.6,1031,"Darth Vader"
"rock (not rap)",75.3,601,27.2,88,"Darth Vader"
"paranoid (not naive)",75.1,250,27.5,89,"Darth Vader"
"technophile (not luddite)",75,181,26.4,878,"Darth Vader"
"vain (not demure)",75,310,26.6,943,"Darth Vader"
"mysterious (not unambiguous)",75,257,28.8,1143,"Darth Vader"
"master (not apprentice)",74.8,628,30.9,460,"Darth Vader"
"lost (not enlightened)",74.6,215,27.9,129,"Darth Vader"
"political (not nonpolitical)",74.5,313,31.4,963,"Darth Vader"
"conspiracist (not sheeple)",74.5,379,27,651,"Darth Vader"
"monotone (not expressive)",74.5,120,31.9,79,"Darth Vader"
"interesting (not tiresome)",74.4,573,25.5,971,"Darth Vader"
"genius (not dunce)",74.3,535,21.8,1103,"Darth Vader"
"arcane (not mainstream)",74.1,247,27.5,959,"Darth Vader"
"dry (not moist)",74.1,152,28.6,109,"Darth Vader"
"deranged (not reasonable)",74,270,24.7,273,"Darth Vader"
"🙅‍♂️ (not 🙋‍♂️)",74,164,30.2,261,"Darth Vader"
"exhibitionist (not bashful)",73.8,353,29.1,112,"Darth Vader"
"conservative (not liberal)",73.6,174,30.7,258,"Darth Vader"
"radical (not centrist)",73.3,235,32.8,92,"Darth Vader"
"analysis (not common sense)",73.3,316,26,88,"Darth Vader"
"methodical (not astonishing)",73.1,347,27.7,1048,"Darth Vader"
"neat (not messy)",73.1,596,28.1,691,"Darth Vader"
"legit (not scrub)",73.1,719,28.6,365,"Darth Vader"
"gendered (not androgynous)",73.1,1032,31.2,342,"Darth Vader"
"🤖 (not 👻)",73,166,30.2,283,"Darth Vader"
"🧗 (not 🛌)",72.6,582,28.3,405,"Darth Vader"
"vintage (not trendy)",72.4,660,28.3,116,"Darth Vader"
"crazy (not sane)",72.3,377,24.9,275,"Darth Vader"
"city-slicker (not country-bumpkin)",72.2,713,27.7,318,"Darth Vader"
"triggered (not trolling)",72.1,328,29.7,131,"Darth Vader"
"hoarder (not unprepared)",71.9,287,21.8,838,"Darth Vader"
"punk rock (not preppy)",71.8,368,29.9,127,"Darth Vader"
"eloquent (not unpolished)",71.5,620,26.5,836,"Darth Vader"
"ivory-tower (not blue-collar)",71.4,334,29.7,834,"Darth Vader"
"🙃 (not 🥰)",71.4,288,31.6,456,"Darth Vader"
"🥾 (not 👟)",71.2,341,31.3,276,"Darth Vader"
"highbrow (not lowbrow)",70.8,416,24.8,819,"Darth Vader"
"punchable (not loveable)",70.8,274,28.3,133,"Darth Vader"
"self-assured (not self-conscious)",70.7,624,32.4,900,"Darth Vader"
"sexist (not feminist)",70.7,266,24.5,350,"Darth Vader"
"soulless (not soulful)",70.7,208,27.4,244,"Darth Vader"
"cat person (not dog person)",70.7,344,33.9,78,"Darth Vader"
"wild (not tame)",70.6,659,28.3,1011,"Darth Vader"
"deep (not shallow)",70.5,551,29.6,351,"Darth Vader"
"serious (not bold)",70.4,262,31.7,1031,"Darth Vader"
"manicured (not scruffy)",70.2,810,29.8,1133,"Darth Vader"
"resolute (not wavering)",70.1,654,29.2,274,"Darth Vader"
"rough (not smooth)",70.1,355,29.5,988,"Darth Vader"
"stylish (not slovenly)",70,652,29.3,887,"Darth Vader"
"efficient (not overprepared)",70,444,29.8,125,"Darth Vader"
"kinky (not vanilla)",69.8,421,29.6,894,"Darth Vader"
"bourgeoisie (not proletariat)",69.8,383,32.3,765,"Darth Vader"
"traitorous (not loyal)",69.7,193,31.5,971,"Darth Vader"
"practical (not imaginative)",69.7,605,29.3,857,"Darth Vader"
"macho (not metrosexual)",69.7,265,29.4,128,"Darth Vader"
"plastic (not wooden)",69.7,113,34.3,106,"Darth Vader"
"indie (not pop)",69.7,557,27.7,72,"Darth Vader"
"contrarian (not yes-man)",69.6,499,29.2,82,"Darth Vader"
"stoic (not hypochondriac)",69.4,412,32.5,75,"Darth Vader"
"mathematical (not literary)",69,235,28.2,925,"Darth Vader"
"creepy (not disarming)",69,186,29.9,395,"Darth Vader"
"repulsive (not attractive)",68.9,189,29.5,998,"Darth Vader"
"thick (not thin)",68.9,304,23.9,625,"Darth Vader"
"rude (not respectful)",68.9,347,28.3,1065,"Darth Vader"
"scheduled (not spontaneous)",68.8,656,30.4,979,"Darth Vader"
"official (not backdoor)",68.8,299,32.5,1044,"Darth Vader"
"instinctual (not reasoned)",68.7,550,29.3,976,"Darth Vader"
"builder (not explorer)",68.7,300,29.3,1080,"Darth Vader"
"geriatric (not vibrant)",68.5,126,27,115,"Darth Vader"
"hypocritical (not equitable)",68.3,365,28,260,"Darth Vader"
"barbaric (not civilized)",68.2,251,28.2,1033,"Darth Vader"
"high standards (not desperate)",68.2,617,35.2,158,"Darth Vader"
"street-smart (not sheltered)",68.1,735,29,899,"Darth Vader"
"confident (not insecure)",67.7,848,33.1,1056,"Darth Vader"
"narcissistic (not low self esteem)",67.6,595,33.6,125,"Darth Vader"
"urban (not rural)",67.5,838,30.3,409,"Darth Vader"
"👽 (not 🤡)",67.5,386,32,290,"Darth Vader"
"introvert (not extrovert)",67.4,344,30.8,958,"Darth Vader"
"picky (not always down)",67.3,503,30.6,90,"Darth Vader"
"impulsive (not cautious)",67,583,30.7,1080,"Darth Vader"
"interested (not bored)",67,877,29.6,104,"Darth Vader"
"purple (not orange)",66.9,335,30.6,823,"Darth Vader"
"🧕 (not 💃)",66.9,176,32,425,"Darth Vader"
"rational (not whimsical)",66.9,640,31.3,923,"Darth Vader"
"🥴 (not 🥳)",66.8,435,26.8,248,"Darth Vader"
"knowledgeable (not ignorant)",66.5,989,30.4,134,"Darth Vader"
"OCD (not ADHD)",66.4,732,32.4,107,"Darth Vader"
"prudish (not flirtatious)",66.4,350,29.7,64,"Darth Vader"
"overspender (not penny-pincher)",66.3,399,30.7,406,"Darth Vader"
"brave (not careful)",66.1,771,29.5,1029,"Darth Vader"
"minimalist (not pack rat)",66.1,420,31,222,"Darth Vader"
"masochistic (not pain-avoidant)",66.1,328,33.7,115,"Darth Vader"
"still (not twitchy)",66.1,284,33.1,152,"Darth Vader"
"charismatic (not uninspiring)",65.8,1135,29.7,858,"Darth Vader"
"natural-talent (not hard-work)",65.7,224,31.2,142,"Darth Vader"
"resistant (not resigned)",65.5,968,32.7,1011,"Darth Vader"
"idealist (not realist)",65.5,473,33.9,250,"Darth Vader"
"interrupting (not attentive)",65.5,488,33.7,104,"Darth Vader"
"🏀 (not 🎨)",65.4,463,32.1,115,"Darth Vader"
"patriotic (not unpatriotic)",65.3,822,33.8,299,"Darth Vader"
"🐴 (not 🦄)",65.2,631,37.4,271,"Darth Vader"
"off-key (not musical)",65.2,476,30.2,126,"Darth Vader"
"flamboyant (not modest)",65.1,558,32.9,1074,"Darth Vader"
"enslaved (not emancipated)",65,153,33.7,1059,"Darth Vader"
"zany (not regular)",64.4,688,29,232,"Darth Vader"
"two-faced (not one-faced)",64.4,394,34.4,144,"Darth Vader"
"chic (not cheesy)",64.4,472,28,74,"Darth Vader"
"tactful (not indiscreet)",64.2,740,32.9,288,"Darth Vader"
"permanent (not transient)",64.1,547,30.3,331,"Darth Vader"
"uncreative (not open to new experinces)",64,220,31.4,947,"Darth Vader"
"outsider (not insider)",64,540,35.7,753,"Darth Vader"
"🐐 (not 🦒)",63.7,660,31.7,369,"Darth Vader"
"literal (not metaphorical)",63.5,702,30.5,966,"Darth Vader"
"nihilist (not existentialist)",63.3,178,32.4,204,"Darth Vader"
"jock (not nerd)",63.2,528,30.2,921,"Darth Vader"
"prideful (not envious)",63.1,1141,35.2,131,"Darth Vader"
"devoted (not unfaithful)",63.1,1428,33.4,75,"Darth Vader"
"lavish (not frugal)",63,541,31,878,"Darth Vader"
"f***-the-police (not tattle-tale)",63,924,37,142,"Darth Vader"
"predictable (not quirky)",63,431,32.2,83,"Darth Vader"
"hurried (not leisurely)",62.9,648,29,1063,"Darth Vader"
"bad-cook (not good-cook)",62.9,524,34.3,104,"Darth Vader"
"apathetic (not curious)",62.8,163,30.7,999,"Darth Vader"
"privileged (not oppressed)",62.7,983,33.2,134,"Darth Vader"
"concrete (not abstract)",62.6,709,32.4,286,"Darth Vader"
"charming (not trusting)",62.4,653,22.9,875,"Darth Vader"
"independent (not codependent)",62.4,945,36.9,1125,"Darth Vader"
"ugly (not beautiful)",62.4,192,32.9,260,"Darth Vader"
"🤑 (not 🤠)",62.2,484,32.3,292,"Darth Vader"
"🐘 (not 🐀)",62.1,529,35,391,"Darth Vader"
"specialist (not generalist)",62,747,32.8,194,"Darth Vader"
"animalistic (not human)",61.9,275,29,884,"Darth Vader"
"melee (not ranged)",61.9,277,31.8,139,"Darth Vader"
"repetitive (not varied)",61.8,647,29,415,"Darth Vader"
"unorthodox (not traditional)",61.5,807,34.2,224,"Darth Vader"
"focused on the future (not focused on the present)",61.3,437,31.9,1000,"Darth Vader"
"orderly (not chaotic)",61.1,795,34.4,1016,"Darth Vader"
"genuine (not sarcastic)",61,740,32.4,1063,"Darth Vader"
"👨‍🔧 (not 👨‍⚕️)",61,690,31.7,280,"Darth Vader"
"😎 (not 🧐)",60.9,777,34.7,268,"Darth Vader"
"dispassionate (not romantic)",60.7,320,36.8,137,"Darth Vader"
"treasure (not trash)",60.6,1391,30.3,319,"Darth Vader"
"clean (not perverted)",60.6,1073,31.1,112,"Darth Vader"
"German (not English)",60.5,83,37.9,101,"Darth Vader"
"sage (not whippersnapper)",60.4,528,29.1,100,"Darth Vader"
"experimental (not reliable)",60.4,608,33.3,137,"Darth Vader"
"concise (not long-winded)",60.3,595,32.9,93,"Darth Vader"
"rebellious (not obedient)",60.2,999,35.8,864,"Darth Vader"
"😬 (not 😏)",60.2,457,35.7,255,"Darth Vader"
"ludicrous (not sensible)",59.8,526,31.2,975,"Darth Vader"
"profound (not ironic)",59.7,567,32.3,99,"Darth Vader"
"scandalous (not proper)",59.5,767,34.2,864,"Darth Vader"
"consistent (not variable)",59.5,890,34,128,"Darth Vader"
"fast (not slow)",59.3,1209,29.3,935,"Darth Vader"
"epic (not deep)",58.8,616,36.9,116,"Darth Vader"
"introspective (not not introspective)",58.7,1079,32.5,373,"Darth Vader"
"racist (not egalitarian)",58.5,224,33.3,280,"Darth Vader"
"emotional (not logical)",58.4,856,34.9,1011,"Darth Vader"
"🤫 (not 🤔)",58.4,379,35.8,256,"Darth Vader"
"🥶 (not 🥵)",58.4,519,37.9,114,"Darth Vader"
"linear (not circular)",58.3,615,35,106,"Darth Vader"
"oxymoron (not tautology)",58.2,703,30.1,62,"Darth Vader"
"historical (not modern)",58.1,660,31.6,691,"Darth Vader"
"asexual (not sexual)",58.1,437,36.1,122,"Darth Vader"
"Coke (not Pepsi)",58.1,532,36.7,129,"Darth Vader"
"never cries (not often crying)",58.1,935,37.4,87,"Darth Vader"
"earth (not air)",57.9,1043,35,117,"Darth Vader"
"🐩 (not 🐒)",57.7,814,34.3,245,"Darth Vader"
"fantastical (not realistic)",57.6,635,34.9,93,"Darth Vader"
"sober (not indulgent)",57.4,685,36.3,927,"Darth Vader"
"crafty (not scholarly)",57.4,984,30.4,1033,"Darth Vader"
"involved (not remote)",57.1,1354,34.7,914,"Darth Vader"
"neurotypical (not autistic)",57,1389,31.3,800,"Darth Vader"
"👩‍🎤 (not 👩‍🔬)",57,851,34.4,265,"Darth Vader"
"inspiring (not cringeworthy)",56.9,987,30.9,217,"Darth Vader"
"western (not eastern)",56.9,1228,34.1,352,"Darth Vader"
"jealous (not opinionated)",56.9,252,38.2,78,"Darth Vader"
"emotional (not unemotional)",56.8,1282,37.2,89,"Darth Vader"
"reactive (not proactive)",56.7,786,36.6,73,"Darth Vader"
"atheist (not theist)",56.5,1033,37.2,195,"Darth Vader"
"refined (not rugged)",56.4,994,31.7,996,"Darth Vader"
"factual (not poetic)",56.4,957,31,131,"Darth Vader"
"mature (not juvenile)",55.9,990,33.3,242,"Darth Vader"
"tasteful (not lewd)",55.8,1198,30.1,893,"Darth Vader"
"conventional (not creative)",55.7,726,32.7,947,"Darth Vader"
"wise (not foolish)",55.5,1014,29.2,1026,"Darth Vader"
"subdued (not exuberant)",55.5,615,33.7,104,"Darth Vader"
"basic (not hipster)",55.3,1065,32.4,866,"Darth Vader"
"anarchist (not statist)",55.3,764,38.6,386,"Darth Vader"
"objective (not subjective)",55.2,670,35.1,235,"Darth Vader"
"libertarian (not socialist)",55.1,891,36.7,812,"Darth Vader"
"dramatic (not no-nonsense)",55.1,934,38.4,400,"Darth Vader"
"devout (not heathen)",54.8,952,36.4,953,"Darth Vader"
"🐮 (not 🐷)",54.8,1098,34.4,385,"Darth Vader"
"outlaw (not sheriff)",54.5,905,40.3,980,"Darth Vader"
"sporty (not bookish)",54.5,690,30,779,"Darth Vader"
"🌟 (not 💩)",54.5,1446,35.7,260,"Darth Vader"
"📈 (not 📉)",54.5,1300,37.6,256,"Darth Vader"
"exaggerating (not factual)",54.2,894,31.7,93,"Darth Vader"
"awkward (not charming)",54.1,622,29.6,960,"Darth Vader"
"physical (not intellectual)",54.1,623,29.5,1001,"Darth Vader"
"spelunker (not claustrophobic)",54,1147,32.3,114,"Darth Vader"
"quiet (not loud)",53.9,848,32.4,954,"Darth Vader"
"love-focused (not money-focused)",53.6,1292,36.5,90,"Darth Vader"
"💪 (not 🧠)",53.4,536,31.8,330,"Darth Vader"
"straightforward (not cryptic)",53.3,1407,34.8,959,"Darth Vader"
"🤣 (not 😊)",53.3,669,30.3,273,"Darth Vader"
"thick-skinned (not sensitive)",53.2,976,35.3,900,"Darth Vader"
"classical (not avant-garde)",53.2,1056,31.5,167,"Darth Vader"
"spiritual (not skeptical)",53.1,456,36.3,968,"Darth Vader"
"cosmopolitan (not provincial)",53,977,34.1,821,"Darth Vader"
"head@clouds (not down2earth)",52.9,826,33.7,903,"Darth Vader"
"gamer (not non-gamer)",52.9,655,36.1,95,"Darth Vader"
"Italian (not Swedish)",52.7,956,34.7,95,"Darth Vader"
"stick-in-the-mud (not adventurous)",52.5,712,34,792,"Darth Vader"
"philosophical (not real)",52.4,524,31.5,686,"Darth Vader"
"shy (not playful)",52.2,499,27.4,816,"Darth Vader"
"muddy (not washed)",51.8,672,34.9,75,"Darth Vader"
"child free (not pronatalist)",51.6,1316,33,861,"Darth Vader"
"cultured (not rustic)",51.6,1245,29.1,81,"Darth Vader"
"lustful (not chaste)",51.5,1123,34.9,973,"Darth Vader"
"anxious (not calm)",51.3,1191,33.5,948,"Darth Vader"
"'left-brained' (not 'right-brained')",51.2,941,34.1,637,"Darth Vader"
"monastic (not hedonist)",51.2,797,32.3,181,"Darth Vader"
"valedictorian (not drop out)",51.2,1289,34.4,273,"Darth Vader"
"disreputable (not prestigious)",51,690,37.1,849,"Darth Vader"
"fixable (not unfixable)",51,1259,32.5,104,"Darth Vader"
"fresh (not stinky)",50.8,1387,33.1,393,"Darth Vader"
"👨‍🚀 (not 🧙)",50.7,940,35.1,399,"Darth Vader"
"pro (not noob)",93,74,14.2,280,"Obi-Wan Kenobi"
"master (not apprentice)",92.9,45,13.7,447,"Obi-Wan Kenobi"
"heroic (not villainous)",92.2,58,11.5,1108,"Obi-Wan Kenobi"
"loyal (not traitorous)",92,143,11.9,1035,"Obi-Wan Kenobi"
"mature (not juvenile)",92,28,10.3,222,"Obi-Wan Kenobi"
"self-disciplined (not disorganized)",91.9,104,12.3,982,"Obi-Wan Kenobi"
"wise (not foolish)",90.9,30,13.2,1093,"Obi-Wan Kenobi"
"high IQ (not low IQ)",90.9,192,10.2,947,"Obi-Wan Kenobi"
"knowledgeable (not ignorant)",90.7,101,13,125,"Obi-Wan Kenobi"
"competent (not incompetent)",89.9,185,15.2,917,"Obi-Wan Kenobi"
"devoted (not unfaithful)",89.3,204,16.2,88,"Obi-Wan Kenobi"
"coordinated (not clumsy)",89.2,140,13.1,977,"Obi-Wan Kenobi"
"perceptive (not unobservant)",89.1,183,17.5,120,"Obi-Wan Kenobi"
"important (not irrelevant)",89,195,14.9,477,"Obi-Wan Kenobi"
"diligent (not lazy)",88.8,370,12.8,1071,"Obi-Wan Kenobi"
"human (not animalistic)",88.8,51,13.6,910,"Obi-Wan Kenobi"
"soulful (not soulless)",88.5,144,14.2,226,"Obi-Wan Kenobi"
"badass (not weakass)",88.2,292,17.8,121,"Obi-Wan Kenobi"
"resourceful (not helpless)",87.9,241,14.7,263,"Obi-Wan Kenobi"
"old (not young)",87.8,55,15.1,976,"Obi-Wan Kenobi"
"confidential (not gossiping)",87.8,113,15.5,1182,"Obi-Wan Kenobi"
"inspiring (not cringeworthy)",87.6,45,14.9,211,"Obi-Wan Kenobi"
"patient (not impatient)",87.1,27,16.6,371,"Obi-Wan Kenobi"
"treasure (not trash)",87.1,181,16.2,321,"Obi-Wan Kenobi"
"civilized (not barbaric)",86.8,168,15.1,964,"Obi-Wan Kenobi"
"kind (not cruel)",86.3,274,14.6,951,"Obi-Wan Kenobi"
"studious (not goof-off)",86.1,220,17.8,297,"Obi-Wan Kenobi"
"deep (not shallow)",86.1,50,14.6,379,"Obi-Wan Kenobi"
"respectful (not rude)",86.1,117,15.5,1067,"Obi-Wan Kenobi"
"white knight (not bad boy)",86.1,67,17.5,79,"Obi-Wan Kenobi"
"🌟 (not 💩)",85.9,226,17.3,298,"Obi-Wan Kenobi"
"chaste (not lustful)",85.6,13,17.7,922,"Obi-Wan Kenobi"
"independent (not codependent)",85.4,156,19.4,1179,"Obi-Wan Kenobi"
"persistent (not quitter)",85.3,705,17.2,291,"Obi-Wan Kenobi"
"not genocidal (not genocidal)",84.9,224,21.2,73,"Obi-Wan Kenobi"
"egalitarian (not racist)",84.8,417,16.4,264,"Obi-Wan Kenobi"
"calm (not anxious)",84.7,42,19.1,988,"Obi-Wan Kenobi"
"clean (not perverted)",84.7,199,20.9,109,"Obi-Wan Kenobi"
"tasteful (not lewd)",84.6,66,17.6,948,"Obi-Wan Kenobi"
"altruistic (not selfish)",84.6,109,16.4,1006,"Obi-Wan Kenobi"
"frugal (not lavish)",84.4,30,18.7,941,"Obi-Wan Kenobi"
"alert (not oblivious)",84.4,197,18.1,299,"Obi-Wan Kenobi"
"empath (not psychopath)",84.2,148,16.9,124,"Obi-Wan Kenobi"
"spiritual (not skeptical)",84.1,27,20.3,1034,"Obi-Wan Kenobi"
"confident (not insecure)",84.1,222,17.7,1023,"Obi-Wan Kenobi"
"nurturing (not poisonous)",84,173,16.1,348,"Obi-Wan Kenobi"
"genius (not dunce)",83.9,221,14.8,1083,"Obi-Wan Kenobi"
"works hard (not plays hard)",83.9,201,15.9,985,"Obi-Wan Kenobi"
"mighty (not puny)",83.9,214,15.3,995,"Obi-Wan Kenobi"
"😇 (not 😈)",83.7,127,19.5,277,"Obi-Wan Kenobi"
"prestigious (not disreputable)",83.6,116,19.7,916,"Obi-Wan Kenobi"
"legit (not scrub)",83.6,174,19.4,383,"Obi-Wan Kenobi"
"devout (not heathen)",83.2,36,19.3,913,"Obi-Wan Kenobi"
"protagonist (not antagonist)",83.2,258,22.4,94,"Obi-Wan Kenobi"
"historical (not modern)",83.1,70,15.1,694,"Obi-Wan Kenobi"
"sage (not whippersnapper)",83.1,23,23.3,132,"Obi-Wan Kenobi"
"deliberate (not spontaneous)",83,204,18.7,928,"Obi-Wan Kenobi"
"introspective (not not introspective)",83,67,20.5,384,"Obi-Wan Kenobi"
"opinionated (not jealous)",83,103,11.8,82,"Obi-Wan Kenobi"
"sensible (not ludicrous)",82.7,104,18.7,996,"Obi-Wan Kenobi"
"compersive (not jealous)",82.6,31,14.6,876,"Obi-Wan Kenobi"
"quiet (not loud)",82.4,112,15.4,1024,"Obi-Wan Kenobi"
"forgiving (not vengeful)",82.3,137,17.9,1007,"Obi-Wan Kenobi"
"reassuring (not fearmongering)",82.3,93,20.4,82,"Obi-Wan Kenobi"
"modest (not flamboyant)",82,112,20.5,1099,"Obi-Wan Kenobi"
"angelic (not demonic)",82,164,16.3,986,"Obi-Wan Kenobi"
"🧠 (not 💪)",82,356,20.1,358,"Obi-Wan Kenobi"
"believable (not poorly-written)",82,234,16.7,132,"Obi-Wan Kenobi"
"enlightened (not lost)",81.9,55,21.4,132,"Obi-Wan Kenobi"
"tactful (not indiscreet)",81.8,80,17.9,254,"Obi-Wan Kenobi"
"giving (not receiving)",81.8,180,18.6,105,"Obi-Wan Kenobi"
"motivated (not unmotivated)",81.8,840,19.4,89,"Obi-Wan Kenobi"
"vintage (not trendy)",81.8,248,19.9,122,"Obi-Wan Kenobi"
"wholesome (not salacious)",81.7,167,19.9,252,"Obi-Wan Kenobi"
"valedictorian (not drop out)",81.7,394,23.2,275,"Obi-Wan Kenobi"
"charismatic (not uninspiring)",81.4,404,17.8,876,"Obi-Wan Kenobi"
"sober (not indulgent)",81.1,42,23.8,1014,"Obi-Wan Kenobi"
"proper (not scandalous)",81.1,140,19.7,924,"Obi-Wan Kenobi"
"cautious (not impulsive)",81,119,18.5,1064,"Obi-Wan Kenobi"
"eloquent (not unpolished)",81,284,21.8,825,"Obi-Wan Kenobi"
"private (not gregarious)",80.9,214,18.9,969,"Obi-Wan Kenobi"
"reasonable (not deranged)",80.6,192,20.9,262,"Obi-Wan Kenobi"
"resolute (not wavering)",80.4,215,22.8,279,"Obi-Wan Kenobi"
"indie (not pop)",80.3,166,21.5,88,"Obi-Wan Kenobi"
